Game,System,Publisher,Developer,Category,Year
Ariel the Little Mermaid,Sega Game Gear,Sega,BlueSky Software,Action,1992.0
Ariel the Little Mermaid,Sega Genesis,Sega,BlueSky Software,Action,1992.0
Ariel the Little Mermaid,Sega Master System,Tec Toy Indústria de Bri...,BlueSky Software,Action,1993.0
Ariel the Little Mermaid,Sega Nomad,Sega,BlueSky Software,Action,1992.0
Arkadian Warriors,Microsoft Xbox Live Arcade,Xbox LIVE Arcade,Wanako Games,Action,2007.0
Arkanoid,Tandy TRS-80 CoCo,Tandy,Taito Corporation,Action,1989.0
Arkanoid,Atari ST,Imagine Software,Taito Corporation,Action,1986.0
Arkanoid,Commodore Amiga,Discovery Software Inter...,Taito Corporation,Action,1987.0
Arkanoid,Commodore 64,Imagine Software,Taito Corporation,Action,1987.0
Arkanoid,MSX 2,Taito Corporation,Taito Corporation,Action,1987.0
Arkanoid,Sinclair ZX Spectrum,Imagine Software,Taito Corporation,Action,1987.0
Arkanoid,Amstrad CPC,Imagine Software,Taito Corporation,Action,1987.0
Arkanoid,Atari 8-bit,Imagine Software,Taito Corporation,Action,1987.0
Arkanoid,Apple II,Taito Corporation,Taito Corporation,Action,1988.0
Arkanoid,Nintendo NES,Taito Corporation,Taito Corporation,Action,1987.0
Arkanoid - Revenge of DOH,Nintendo NES,Taito Corporation,Taito Corporation,Action,1988.0
Arkanoid - Revenge of DOH,Apple II,Taito Corporation,Taito Corporation,Action,1989.0
Arkanoid - Revenge of DOH,Amstrad CPC,Imagine Software,Taito Corporation,Action,1988.0
Arkanoid - Revenge of DOH,MSX 2,Nidecom Soft,Taito Corporation,Action,1988.0
Arkanoid - Revenge of DOH,Commodore Amiga,Imagine Software,Taito Corporation,Action,1988.0
Arkanoid - Revenge of DOH,Atari ST,Imagine Software,Taito Corporation,Action,1988.0
Arkanoid 2: Revenge of Doh,Commodore 64,Imagine Software,Taito Corporation,Action,1988.0
Arkanoid 2: Revenge of Doh,Sinclair ZX Spectrum,Imagine Software,Taito Corporation,Action,1988.0
ARMA: Combat Operations,Valve Steam,Bohemia Interactive,Bohemia Interactive,Action,2007.0
Armed and Dangerous®,Valve Steam,LucasArts,Planet Moon Studios,Action,2003.0
Armored Core V,Microsoft Xbox 360,Namco,FromSoftware,Action,2012.0
Armored Encounter,Magnavox Odyssey 2,Magnavox,Magnavox,Action,1978.0
Army Men: Air Attack 2,Sony Playstation,3DO,3DO,Action,2000.0
Army Men: Air Attack 2,Sony Playstation 2,3DO,3DO,Action,2001.0
Army Men: Sarge's War,Sony Playstation 2,Global Star Software,3DO,Action,2004.0
Army Men: Sarge's War,Microsoft Xbox,Global Star Software,3DO,Action,2004.0
Army Men: Sarge's War,Nintendo GameCube,Global Star Software,3DO,Action,2004.0
As Aventuras da TV Colosso,Sega Master System,Tec Toy Indústria de Bri...,Sega,Action,1996.0
